airport_identifier,airport_size,airport_name,elevation_ft,continent,country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
YMUC,small_airport,Muccan Station Airport,300.0,OC,AU,AU-WA,Muccan Station,YMUC,MUQ,,"120.06700134277344, -20.658899307250977"
YMUG,small_airport,Mungeranie Airport,,OC,AU,AU-SA,Mungeranie,YMUG,MNE,,"138.65699768066406, -28.009199142456055"
YMUI,small_airport,Murray Island Airport,300.0,OC,AU,AU-QLD,Murray Island,YMAE,MYI,YMUI,"144.054992676, -9.91666984558"
YMUK,small_airport,Mulka Airport,,OC,AU,AU-SA,Mulka,YMUK,MVK,,"138.64999389648438, -28.34779930114746"
YMUP,small_airport,Mulga Park Airport,,OC,AU,AU-NT,,YMUP,MUP,,"131.649993896, -25.860000610399997"
YMVG,small_airport,Mount Cavenagh Airport,,OC,AU,AU-NT,,YMVG,MKV,,"133.199996948, -25.9666996002"
YMWA,small_airport,Mullewa Airport,290.0,OC,AU,AU-WA,,YMWA,MXU,,"115.51699829101562, -28.475000381469727"
YMWT,small_airport,Moolawatana Airport,265.0,OC,AU,AU-SA,Moolawatana Station,YMWT,MWT,,"139.765, -29.9069"
YMWX,small_airport,Marion Downs Airport,,OC,AU,AU-QLD,,YMWX,MXD,,"139.66700744628906, -23.36669921875"
YMX,large_airport,International Airport of Mirabel - Academy of Aeronautics of Canada Flying School training,,NA,CA,CA-QC,Mirabel,,YMX,,"0, 0"
YMYB,small_airport,Maryborough Airport,38.0,OC,AU,AU-QLD,Maryborough,YMYB,MBH,,"152.714996, -25.5133"
